ref;method;size;mean;median;minimum;maximum;samples;memory;allocs;gcmean;gcmedian;gcminimum;gcmaximum
3;classicBP;10;6.4591000000000006e-6;3.3695e-6;2.595e-6;2.2873000000000003e-5;10;7200;70;0.0;0.0;0.0;0.0
3;quaternionBP;10;4.5271e-6;2.1620000000000002e-6;1.951e-6;2.2811000000000002e-5;10;4592;69;0.0;0.0;0.0;0.0
3;classicBP;100;2.35115e-5;2.0522500000000002e-5;1.9453e-5;4.8623000000000005e-5;10;54752;430;0.0;0.0;0.0;0.0
3;quaternionBP;100;1.68986e-5;1.3423500000000001e-5;1.3195000000000002e-5;4.3174000000000004e-5;10;23344;429;0.0;0.0;0.0;0.0
3;classicBP;200;5.3728500000000006e-5;4.6275e-5;3.7867e-5;7.594000000000001e-5;10;107776;830;0.0;0.0;0.0;0.0
3;quaternionBP;200;3.07872e-5;2.5741000000000003e-5;2.4861e-5;7.1456e-5;10;44368;829;0.0;0.0;0.0;0.0
3;classicBP;300;9.32819e-5;0.00010550400000000001;6.0544e-5;0.000132874;10;160480;1230;0.0;0.0;0.0;0.0
3;quaternionBP;300;4.38938e-5;3.8057000000000005e-5;3.7315000000000004e-5;9.374100000000001e-5;10;65072;1229;0.0;0.0;0.0;0.0
3;classicBP;400;0.0001349946;0.000145431;9.044800000000001e-5;0.000165161;10;213216;1630;0.0;0.0;0.0;0.0
3;quaternionBP;400;5.923940000000001e-5;5.1526e-5;4.8718000000000003e-5;0.00011831500000000001;10;85808;1629;0.0;0.0;0.0;0.0
3;classicBP;500;0.0001715709;0.000183236;0.00011377300000000001;0.00019557500000000002;10;266080;2030;0.0;0.0;0.0;0.0
3;quaternionBP;500;7.65999e-5;6.904800000000001e-5;6.3543e-5;0.00015094200000000002;10;106672;2029;0.0;0.0;0.0;0.0
3;classicBP;600;0.0002114784;0.00022206100000000001;0.000146522;0.000223956;10;321664;2608;0.0;0.0;0.0;0.0
3;quaternionBP;600;9.62792e-5;8.5967e-5;8.353100000000001e-5;0.00018014700000000002;10;130256;2607;0.0;0.0;0.0;0.0
3;classicBP;700;0.0002578838;0.000264264;0.00018669900000000002;0.000274913;10;377728;3208;0.0;0.0;0.0;0.0
3;quaternionBP;700;0.00011987460000000001;0.00010382800000000001;0.00010221600000000001;0.000216817;10;154320;3207;0.0;0.0;0.0;0.0
3;classicBP;800;0.000298077;0.00030417050000000005;0.000242897;0.000310816;10;433664;3808;0.0;0.0;0.0;0.0
3;quaternionBP;800;0.0001350191;0.000120599;0.00011510200000000001;0.000246626;10;178256;3807;0.0;0.0;0.0;0.0
3;classicBP;900;0.0003482008;0.0003533175;0.00030977200000000004;0.00036802700000000005;10;489728;4408;0.0;0.0;0.0;0.0
3;quaternionBP;900;0.00015472070000000003;0.00013622150000000002;0.000133881;0.000277211;10;202320;4407;0.0;0.0;0.0;0.0
3;classicBP;1000;0.0003806494;0.00038358150000000003;0.00034549;0.000392842;10;545664;5008;0.0;0.0;0.0;0.0
3;quaternionBP;1000;0.0001755163;0.00015740800000000002;0.000151246;0.000311863;10;226256;5007;0.0;0.0;0.0;0.0
3;classicBP;2000;0.0008097204;0.0007877530000000001;0.0007705390000000001;0.000984023;10;1105664;11008;0.0;0.0;0.0;0.0
3;quaternionBP;2000;0.0003490473;0.00031918450000000003;0.00030250400000000004;0.000577262;10;466256;11007;0.0;0.0;0.0;0.0
3;classicBP;3000;0.0012403125;0.0012093845000000002;0.0011821490000000002;0.001464943;10;1665568;17010;0.0;0.0;0.0;0.0
3;quaternionBP;3000;0.0005414277;0.0004899445;0.000467186;0.000878094;10;706160;17009;0.0;0.0;0.0;0.0
