ref;method;size;mean;median;minimum;maximum;samples;memory;allocs;gcmean;gcmedian;gcminimum;gcmaximum
400;classicBP;10;3.91451839e-6;3.096e-6;2.8610000000000002e-6;0.004970017;100000;9120;78;6.4986387e-7;0.0;0.0;0.004956865
400;quaternionBP;10;3.31171274e-6;2.5360000000000004e-6;2.3660000000000003e-6;0.006302954;100000;6512;77;6.3168788e-7;0.0;0.0;0.006286087
400;classicBP;100;0.00010894047589000001;0.000104586;0.00010067600000000001;0.004496812;100000;79136;456;3.60092737e-6;0.0;0.0;0.004122898
400;quaternionBP;100;9.874922138000001e-5;9.4738e-5;9.081200000000001e-5;0.005819625;100000;47728;455;3.34332168e-6;0.0;0.0;0.005341664
400;classicBP;200;0.00040628337072;0.000396835;0.00038758200000000003;0.004733682;100000;157120;862;7.3534916700000005e-6;0.0;0.0;0.00422197
400;quaternionBP;200;0.00038550161633;0.00037696;0.000368284;0.005939838;100000;93712;861;6.633835860000001e-6;0.0;0.0;0.0049506820000000005
400;classicBP;300;0.0009007556832600001;0.0008858620000000001;0.00087854;0.0054203590000000005;100000;259360;1268;1.1755289930000001e-5;0.0;0.0;0.004095549
400;quaternionBP;300;0.0008682299804600001;0.0008546270000000001;0.000845128;0.006707960000000001;100000;163952;1267;1.1106828090000002e-5;0.0;0.0;0.005271325
400;classicBP;400;0.0016343339762700001;0.0016165270000000002;0.0015903870000000002;0.006386466;100000;312096;1668;1.396544257e-5;0.0;0.0;0.004308042000000001
400;quaternionBP;400;0.00159266890349;0.0015777225;0.00155133;0.007572990000000001;100000;184688;1667;1.155148719e-5;0.0;0.0;0.005377855
400;classicBP;500;0.00298324910818;0.0029612125;0.002921831;0.007836213;100000;364960;2068;1.619318141e-5;0.0;0.0;0.004355635
400;quaternionBP;500;0.0029256041114500003;0.0029083555000000002;0.0028727960000000004;0.008637780000000001;100000;205552;2067;1.2276351470000001e-5;0.0;0.0;0.004998684000000001
400;classicBP;600;0.006043225851077134;0.006019345000000001;0.0059632470000000005;0.010928323;49576;420544;2646;1.8764572131676618e-5;0.0;0.0;0.004534237
400;quaternionBP;600;0.005977460926801533;0.0059593475;0.0059071850000000006;0.011915401;50124;229136;2645;1.3573341193839278e-5;0.0;0.0;0.005442118
400;classicBP;700;0.007251256629072864;0.007212382000000001;0.007133315;0.012678143000000001;41310;476608;3246;2.2018846066327768e-5;0.0;0.0;0.0047108060000000005
400;quaternionBP;700;0.007151696936588277;0.007123163;0.007040547;0.013586642000000001;41885;253200;3245;1.4983675898292945e-5;0.0;0.0;0.005568698
400;classicBP;800;0.009788789961645268;0.009748022;0.009651132;0.015386778;30609;532544;3846;2.5179000849423377e-5;0.0;0.0;0.004880095
400;quaternionBP;800;0.009684187425824177;0.009648529000000001;0.009535360000000001;0.016126812;30940;277136;3845;1.63096045572075e-5;0.0;0.0;0.005703021
400;classicBP;900;0.011780415763003736;0.011735197000000001;0.011626656;0.017500556;25435;588608;4446;2.783023876548064e-5;0.0;0.0;0.00501645
400;quaternionBP;900;0.011644884702576658;0.011611949;0.011487574;0.017975534;25731;301200;4445;1.7526821732540517e-5;0.0;0.0;0.005472463
400;classicBP;1000;0.014412937270584842;0.014357325;0.014222408;0.020254836000000002;20792;644544;5046;3.434966862254714e-5;0.0;0.0;0.005232416
400;quaternionBP;1000;0.014253819596813318;0.014225696000000001;0.014095365;0.020784623000000002;21025;325136;5045;1.886726558858502e-5;0.0;0.0;0.005941658000000001
400;classicBP;2000;0.03462651453262502;0.034393017000000005;0.034154845;0.045475534000000005;8659;1204544;11046;0.00010613015417484698;0.0;0.0;0.010298342
400;quaternionBP;2000;0.03423590494415896;0.034102084000000005;0.03384008;0.043736664;8757;565136;11045;3.982405195843325e-5;0.0;0.0;0.007141408
400;classicBP;3000;0.05386218784644397;0.053816986500000004;0.053050163000000004;0.068800867;5568;1764448;17048;0.00017836466756465517;0.0;0.0;0.014505777000000001
400;quaternionBP;3000;0.05311750241161885;0.052984663;0.052607759000000004;0.06671827300000001;5646;805040;17047;7.127370616365569e-5;0.0;0.0;0.012901592000000002
