ref;method;size;mean;median;minimum;maximum
100;classicBP;10;7.287130000000001e-6;5.518571428571429e-6;4.846428571428572e-6;0.0006466898571428572
100;quaternionBP;10;4.7511948750000005e-6;4.015625e-6;3.4480000000000003e-6;0.0006342275000000001
100;classicBP;100;0.00018563822;0.000167066;0.00016144100000000002;0.0032654560000000003
100;quaternionBP;100;0.00015054095400000002;0.0001473515;0.000140024;0.003490913
100;classicBP;200;0.001001368075;0.0009614970000000001;0.000946986;0.004020967
100;quaternionBP;200;0.0008790266270000001;0.0008666075000000001;0.000853448;0.0043975130000000005
100;classicBP;300;0.00086643233;0.0008241500000000001;0.0008117910000000001;0.004002301000000001
100;quaternionBP;300;0.000777946884;0.0007650455000000001;0.0007542460000000001;0.004438388000000001
100;classicBP;400;0.0011616979830000001;0.0011067375000000002;0.001087169;0.0043573810000000004
100;quaternionBP;400;0.0010407707480000002;0.0010222805000000001;0.001009239;0.004929251
100;classicBP;500;0.001529415615;0.001458707;0.001435248;0.0047897470000000004
100;quaternionBP;500;0.001372881541;0.0013496415000000001;0.0013265430000000001;0.005257496
100;classicBP;600;0.0020244696070000003;0.0019409870000000001;0.0019020730000000002;0.005320082
100;quaternionBP;600;0.0018325929850000003;0.0018051075000000002;0.001775192;0.005830465
100;classicBP;700;0.002691863053;0.0025875665;0.0025426150000000002;0.005963690000000001
100;quaternionBP;700;0.002458203836;0.002420703;0.0023804110000000002;0.006457719000000001
100;classicBP;800;0.004099782176;0.0039467975;0.0038928350000000003;0.007443901
100;quaternionBP;800;0.0035941297070000004;0.0035471955;0.003503743;0.007664032
100;classicBP;900;0.0039033120910000004;0.0037691745000000003;0.0037182450000000002;0.007358532
100;quaternionBP;900;0.0035918750070000004;0.0035423125000000003;0.003489386;0.007699823000000001
100;classicBP;1000;0.0018528339160000002;0.0017688925000000002;0.001745358;0.005076579
100;quaternionBP;1000;0.0016222422590000001;0.0015963815000000002;0.0015750430000000001;0.005441904
100;classicBP;2000;0.001290990741;0.0012161375000000001;0.0011987880000000001;0.00465091
100;quaternionBP;2000;0.0011373612260000001;0.001105173;0.001091081;0.004919808
100;classicBP;3000;0.021680541774891777;0.020794173000000003;0.020564067000000002;0.025250143000000003
100;quaternionBP;3000;0.01871900448314607;0.018460723000000002;0.018297322;0.023285536000000003
