ref;method;size;mean;median;minimum;maximum
10;classicBP;10;7.178532428571429e-6;5.5080000000000005e-6;4.8787142857142855e-6;0.0006149032857142858
10;quaternionBP;10;4.77841375e-6;4.0423125e-6;3.4852500000000002e-6;0.0006348135000000001
10;classicBP;100;7.1353294e-5;5.6838e-5;5.4636000000000003e-5;0.0031072110000000003
10;quaternionBP;100;4.2373236e-5;3.82375e-5;3.6927e-5;0.0037391420000000004
10;classicBP;200;0.000142303692;0.00011525250000000001;0.000110154;0.0031359010000000004
10;quaternionBP;200;8.399746300000001e-5;7.6073e-5;7.338800000000001e-5;0.003741096
10;classicBP;300;0.00022447557100000002;0.00018719100000000002;0.000181883;0.0032213370000000003
10;quaternionBP;300;0.000130502022;0.000118059;0.00011324000000000001;0.003967412
10;classicBP;400;0.00030911572200000004;0.00025916350000000003;0.000253274;0.0033148310000000003
10;quaternionBP;400;0.000191943555;0.00017537650000000002;0.00017076500000000002;0.00400593
10;classicBP;500;0.00038225937800000004;0.000322502;0.00031735700000000004;0.003399795
10;quaternionBP;500;0.000244760438;0.00022421350000000002;0.00021804900000000003;0.004098715
10;classicBP;600;0.000456892668;0.000386152;0.00037776000000000004;0.003510253
10;quaternionBP;600;0.000292191597;0.00026813250000000004;0.00026193200000000004;0.004088991
10;classicBP;700;0.000539725198;0.00045536100000000005;0.00044648100000000004;0.0035986940000000004
10;quaternionBP;700;0.000343253497;0.00031517700000000004;0.000307242;0.004101666
10;classicBP;800;0.000625588026;0.0005320945;0.0005235950000000001;0.003697496
10;quaternionBP;800;0.000402184538;0.00036975;0.000363078;0.004241415
10;classicBP;900;0.000675458612;0.0005673830000000001;0.0005581350000000001;0.003828081
10;quaternionBP;900;0.00043155277000000004;0.00039527000000000003;0.000387898;0.004296556
10;classicBP;1000;0.0018770960100000001;0.001738919;0.001706063;0.005168427000000001
10;quaternionBP;1000;0.001568852062;0.0015196620000000002;0.0014674080000000001;0.005573354
10;classicBP;2000;0.001634964839;0.0013690365;0.0013426520000000002;0.005049115000000001
10;quaternionBP;2000;0.0010629058160000003;0.000967946;0.00095155;0.005079844
10;classicBP;3000;0.002620709599;0.0021957355;0.00214135;0.0059564050000000006
10;quaternionBP;3000;0.0017308229580000002;0.0015792690000000001;0.001551192;0.0061187690000000005
