ref;method;size;mean;median;minimum;maximum;samples;memory;allocs;gcmean;gcmedian;gcminimum;gcmaximum
700;classicBP;10;3.87615917e-6;3.0820000000000003e-6;2.8560000000000003e-6;0.005043224000000001;100000;9120;78;6.2598164e-7;0.0;0.0;0.005028022
700;quaternionBP;10;3.3549045500000005e-6;2.527e-6;2.35e-6;0.006338448;100000;6512;77;6.8366068e-7;0.0;0.0;0.0063224100000000005
700;classicBP;100;0.00010345579839;9.898e-5;9.578800000000001e-5;0.004267403;100000;79136;456;3.64956639e-6;0.0;0.0;0.004115186
700;quaternionBP;100;9.325142467e-5;8.9109e-5;8.629e-5;0.005835906;100000;47728;455;3.4239089100000003e-6;0.0;0.0;0.005328207000000001
700;classicBP;200;0.00039086440839000003;0.000381476;0.00037469200000000004;0.005000765;100000;157120;862;7.4718342500000006e-6;0.0;0.0;0.004215896
700;quaternionBP;200;0.00036881180535;0.000360527;0.000353082;0.006336390000000001;100000;93712;861;6.7890204700000005e-6;0.0;0.0;0.005376134
700;classicBP;300;0.0011582629631300002;0.001141469;0.001117505;0.0059674210000000005;100000;259360;1268;1.1839916920000001e-5;0.0;0.0;0.004209994
700;quaternionBP;300;0.00111864195052;0.0011034390000000001;0.001082033;0.006687114;100000;163952;1267;1.111466612e-5;0.0;0.0;0.004917318
700;classicBP;400;0.0019748991201200003;0.0019541980000000003;0.0019329780000000001;0.006710361000000001;100000;312096;1668;1.431982427e-5;0.0;0.0;0.004305685
700;quaternionBP;400;0.00195960750112;0.0019420860000000002;0.001917155;0.007860629000000001;100000;184688;1667;1.2018753220000002e-5;0.0;0.0;0.005332446
700;classicBP;500;0.0028120340426;0.0027903420000000003;0.0027517320000000002;0.007661951;100000;364960;2068;1.6537535e-5;0.0;0.0;0.004370265
700;quaternionBP;500;0.00274808151784;0.002730452;0.0026952390000000003;0.008760552000000001;100000;205552;2067;1.2778351290000002e-5;0.0;0.0;0.005357073
700;classicBP;600;0.005037918020368004;0.005009700000000001;0.004967768;0.009753153;59456;519232;2652;2.21714956270183e-5;0.0;0.0;0.00431985
700;quaternionBP;600;0.004970817645287089;0.0049454435000000005;0.004908002000000001;0.010866997000000002;60260;327824;2651;1.9256926252904085e-5;0.0;0.0;0.005397372
700;classicBP;700;0.007372514371815385;0.007322138000000001;0.007240388;0.013438251;40625;575296;3252;2.3609021883076924e-5;0.0;0.0;0.004940646
700;quaternionBP;700;0.00727588608875826;0.007235032000000001;0.007152511;0.013805565;41168;351888;3251;1.807901697920715e-5;0.0;0.0;0.005451499
700;classicBP;800;0.011114466389529924;0.011074253000000001;0.01092069;0.017038291;26953;631232;3852;2.6330957667050052e-5;0.0;0.0;0.005236209
700;quaternionBP;800;0.010992666406105526;0.010962064;0.010785144;0.017716551;27254;375824;3851;1.884729456226609e-5;0.0;0.0;0.005931405000000001
700;classicBP;900;0.0158015460696019;0.015723313000000003;0.015571768000000001;0.022511671;18965;687296;4452;3.3163818296862644e-5;0.0;0.0;0.005630409
700;quaternionBP;900;0.015662171121348316;0.015624511;0.015469272000000001;0.022901639;19135;399888;4451;1.9862841912725375e-5;0.0;0.0;0.006134961
700;classicBP;1000;0.01829951583746489;0.018193973000000002;0.018068548;0.025740293;16378;743232;5052;4.1040429356453786e-5;0.0;0.0;0.006529224
700;quaternionBP;1000;0.018101576319079545;0.018065406000000003;0.017958729;0.025014293;16557;423824;5051;2.091181325119285e-5;0.0;0.0;0.00595984
700;classicBP;2000;0.0612186158571137;0.061176037;0.060545078;0.076898516;4899;1303232;11052;0.0001260600087773015;0.0;0.0;0.014926320000000002
700;quaternionBP;2000;0.06062834394582576;0.06055373000000001;0.060253779;0.072761142;4947;663824;11051;4.761822458055387e-5;0.0;0.0;0.011486118
700;classicBP;3000;0.09776287462059974;0.09775446550000001;0.09667131000000001;0.121708805;3068;1863136;17054;0.00021165562353324643;0.0;0.0;0.022950689
700;quaternionBP;3000;0.09677974592997743;0.09672760700000001;0.09616627500000001;0.116647547;3099;903728;17053;8.159699612778316e-5;0.0;0.0;0.019019902
