ref;method;size;mean;median;minimum;maximum;samples;memory;allocs;gcmean;gcmedian;gcminimum;gcmaximum
4;classicBP;10;3.3465168300000003e-6;2.6370000000000003e-6;2.435e-6;0.005001964;100000;7488;72;5.564240200000001e-7;0.0;0.0;0.004987382
4;quaternionBP;10;2.6345205900000003e-6;1.9940000000000003e-6;1.887e-6;0.006394697;100000;4880;71;5.0447936e-7;0.0;0.0;0.006380435
4;classicBP;100;2.3311883590000003e-5;2.0548e-5;1.9592e-5;0.004072282;100000;55040;432;2.47011199e-6;0.0;0.0;0.00402843
4;quaternionBP;100;1.5752691550000002e-5;1.3935000000000001e-5;1.3463000000000001e-5;0.0049665840000000004;100000;23632;431;1.52182682e-6;0.0;0.0;0.004932442
4;classicBP;200;4.608447642e-5;4.0997e-5;3.8983e-5;0.004015441000000001;100000;108064;832;4.55007315e-6;0.0;0.0;0.0039351640000000005
4;quaternionBP;200;3.0466390010000003e-5;2.7367e-5;2.65e-5;0.004812129;100000;44656;831;2.66700411e-6;0.0;0.0;0.004751184
4;classicBP;300;7.073990206e-5;6.3117e-5;5.9289e-5;0.004113497000000001;100000;160768;1232;7.076729070000001e-6;0.0;0.0;0.003952625
4;quaternionBP;300;4.603107997e-5;4.1353e-5;4.0045e-5;0.0050735;100000;65360;1231;3.96923701e-6;0.0;0.0;0.0048334450000000004
4;classicBP;400;9.470200160000001e-5;8.4585e-5;7.9842e-5;0.004077847;100000;213504;1632;9.321486800000002e-6;0.0;0.0;0.003911411
4;quaternionBP;400;6.116799297e-5;5.5399e-5;5.2876e-5;0.0048811;100000;86096;1631;5.03377824e-6;0.0;0.0;0.004779066
4;classicBP;500;0.00012018087263;0.00010751100000000001;0.000101682;0.004239865000000001;100000;266368;2032;1.17205512e-5;0.0;0.0;0.003992439
4;quaternionBP;500;7.755143223e-5;6.969e-5;6.6643e-5;0.004844403000000001;100000;106960;2031;6.2956852300000006e-6;0.0;0.0;0.004722143000000001
4;classicBP;600;0.00014572730768;0.000130065;0.00012474800000000002;0.0042287800000000006;100000;321952;2610;1.4572803060000001e-5;0.0;0.0;0.0039860930000000004
4;quaternionBP;600;9.566614472e-5;8.542800000000001e-5;8.204000000000001e-5;0.0050745700000000005;100000;130544;2609;8.073605070000001e-6;0.0;0.0;0.0048282080000000005
4;classicBP;700;0.00017366378293;0.000154919;0.000148589;0.0042936580000000005;100000;378016;3210;1.746458777e-5;0.0;0.0;0.004033481
4;quaternionBP;700;0.00011403226508;0.00010138100000000001;9.768400000000001e-5;0.005144409;100000;154608;3209;1.00362184e-5;0.0;0.0;0.004972027
4;classicBP;800;0.0002029828012;0.000181053;0.00017284800000000002;0.0043674230000000005;100000;433952;3810;2.0673590330000002e-5;0.0;0.0;0.004066508
4;quaternionBP;800;0.0001348546672;0.00011923800000000001;0.00011425600000000001;0.0051638380000000005;100000;178544;3809;1.1939585220000002e-5;0.0;0.0;0.0049476270000000004
4;classicBP;900;0.00023390725934;0.00020872500000000002;0.000199401;0.004089468000000001;100000;490016;4410;2.375787185e-5;0.0;0.0;0.003741589
4;quaternionBP;900;0.00015749081291000001;0.00013929;0.000134122;0.005302046;100000;202608;4409;1.3828817050000001e-5;0.0;0.0;0.005065759
4;classicBP;1000;0.00025595435882;0.00022761000000000002;0.000218812;0.004590380000000001;100000;545952;5010;2.665603358e-5;0.0;0.0;0.0041627190000000005
4;quaternionBP;1000;0.00017119032149;0.00015034;0.00014560900000000002;0.005400905;100000;226544;5009;1.5774659110000003e-5;0.0;0.0;0.005124679
4;classicBP;2000;0.0005335254734;0.00047255900000000005;0.00045916100000000003;0.004887735000000001;100000;1105952;11010;5.8486735670000005e-5;0.0;0.0;0.0042799150000000005
4;quaternionBP;2000;0.0003643745975;0.00032242100000000004;0.00031356;0.005771634;100000;466544;11009;3.3993178840000004e-5;0.0;0.0;0.0053238700000000005
4;classicBP;3000;0.0008330465981;0.000736202;0.000714849;0.006038436;100000;1665856;17012;9.330160283000001e-5;0.0;0.0;0.004771085
4;quaternionBP;3000;0.00057441984503;0.0005119005;0.000497617;0.006194018000000001;100000;706448;17011;5.173840016e-5;0.0;0.0;0.005462247
