ref;method;size;mean;median;minimum;maximum
900;classicBP;10;9.473963e-6;6.0407500000000006e-6;5.339333333333333e-6;0.0014215208333333334
900;quaternionBP;10;6.189326857142857e-6;4.970785714285714e-6;3.952714285714286e-6;0.0013011534285714288
900;classicBP;100;0.000287286332;0.0002567;0.000246909;0.006483125
900;quaternionBP;100;0.00023682511400000003;0.00023018200000000003;0.00021901100000000002;0.00729809
900;classicBP;200;0.0008800114950000001;0.000825582;0.0008164400000000001;0.006691843
900;quaternionBP;200;0.000789237394;0.0007649745;0.000757759;0.007703299
900;classicBP;300;0.002492895354;0.0024089055;0.00237387;0.008398243
900;quaternionBP;300;0.002346894065;0.0023071625000000004;0.002277064;0.00909454
900;classicBP;400;0.004041948821;0.0039500145000000006;0.0037897800000000004;0.009546034
900;quaternionBP;400;0.003872930525;0.0038359045000000004;0.0036726040000000003;0.010348545
900;classicBP;500;0.006351028373570522;0.006227687;0.0061600890000000005;0.011785225
900;quaternionBP;500;0.006131081115337424;0.006072183;0.006020084;0.012579374
900;classicBP;600;0.009475249784090908;0.009315526000000001;0.009225482;0.014724186
900;quaternionBP;600;0.009173884018348623;0.009106231000000001;0.009040759;0.015275288000000001
900;classicBP;700;0.013555299059620596;0.013356497;0.013245432000000001;0.018913713000000002
900;quaternionBP;700;0.013171042247368422;0.013079643500000002;0.012986898;0.019238842000000003
900;classicBP;800;0.019314057996139;0.019088879;0.018947075;0.024723692000000002
900;quaternionBP;800;0.018863973158490567;0.018770481000000002;0.018659985;0.024964359000000002
900;classicBP;900;0.02520010364824121;0.024946691;0.024784900000000002;0.030660026000000003
900;quaternionBP;900;0.024645024901477835;0.024553633000000002;0.024403276;0.030681643
900;classicBP;1000;0.03230267678709677;0.032025793000000004;0.031882205000000004;0.038058802
900;quaternionBP;1000;0.03162555379874214;0.031522588000000004;0.031355254;0.037966696
900;classicBP;2000;0.1389227103888889;0.138707297;0.137531916;0.14362893300000001
900;quaternionBP;2000;0.13708498327027027;0.137089298;0.135740518;0.13780904800000002
900;classicBP;3000;0.25447779165;0.2541930415;0.25246039400000003;0.26031301900000003
900;quaternionBP;3000;0.2503841573;0.2505380495;0.24755406100000002;0.251758105
