problem,count_atoms,MDE_classic,MDE_quaternion,RMSD,samples_classic,samples_quaternion,memory_classic,memory_quaternion,allocs_classic,allocs_quaternion,time_classic(mean),time_quaternion(mean),gctime_classic(mean),gctime_quaternion(mean),time_classic(median),time_quaternion(median),gctime_classic(median),gctime_quaternion(median),time_classic(minimum),time_quaternion(minimum),gctime_classic(minimum),gctime_quaternion(minimum),time_classic(maxium),time_quaternion(maxium),gctime_classic(maximum),gctime_quaternion(maximum)
pdb2lt3,680,7.244887620543753e-14,7.760325868459495e-14,5.2634297664425767e-14,49241,82446,1331776,620352,7271,8383,0.0012132619997359925,0.00072256333466754,0.00016055906986048212,5.42855503602358e-5,0.001084792,0.000687662,0.0,0.0,0.000660065,0.000520171,0.0,0.0,0.091138652,0.061584138000000004,0.08898361,0.059503089
pdb2lu6,86,5.355817744978073e-15,6.9224983349632646e-15,4.1889818262384195e-15,100000,100000,169952,76368,835,942,0.00014981484806,8.430877843000002e-5,2.1604077120000004e-5,7.48482396e-6,0.000131796,7.8526e-5,0.0,0.0,7.602600000000001e-5,5.7411e-5,0.0,0.0,0.089634877,0.071187524,0.08774617500000001,0.069083958
pdb2lwa,432,3.6154983361305196e-13,4.4272318066809295e-13,9.339475643760808e-13,80080,100000,831920,379088,4102,4588,0.0007437565257117883,0.00043232705543000004,9.865521246253747e-5,3.2327172900000006e-5,0.0006640205,0.000411021,0.0,0.0,0.00040142700000000004,0.00031158,0.0,0.0,0.087578072,0.060625192,0.08583848100000001,0.058516853
pdb2lx0,194,1.9401115956964708e-9,1.9401582786588824e-9,2.0923490122181848e-13,100000,100000,392784,175888,1864,2112,0.00035013605591,0.00020208418546000003,4.659248897e-5,1.566602822e-5,0.00031226400000000003,0.00019112,0.0,0.0,0.000184038,0.00014210900000000002,0.0,0.0,0.087338486,0.06522769,0.08607118200000001,0.06346036000000001
pdb2lxb,892,1.5415676859344335e-13,1.5851564039008308e-13,1.6837487152720895e-13,28978,51273,2246256,954192,12830,14502,0.0020666444033404655,0.0011645270463206756,0.0002869804607978467,9.07392031478556e-5,0.0018311055000000001,0.001103168,0.0,0.0,0.001083075,0.000821402,0.0,0.0,0.090995696,0.068950869,0.088469033,0.06664821700000001
pdb2lxy,404,9.312750327163582e-13,1.0253887694777154e-12,1.661779539019508e-12,65870,100000,979488,413008,4941,5656,0.0009062495724760892,0.0005100467083100001,0.00012474464926370124,3.884485692e-5,0.0008025815000000001,0.000482972,0.0,0.0,0.000477356,0.000361456,0.0,0.0,0.091817328,0.068693021,0.089994312,0.066586643
pdb2lxz,194,2.3708293632197274e-12,2.792088502507452e-12,1.9894569014928454e-12,100000,100000,396624,176592,1892,2168,0.00036230908036000007,0.00021045853743,4.9747050040000006e-5,1.6289026700000002e-5,0.00032046950000000005,0.0001988415,0.0,0.0,0.000189222,0.000147669,0.0,0.0,0.08971085100000001,0.06763817500000001,0.08841610500000001,0.065848707
pdb2lzf,820,3.217049852765736e-14,3.957314171959974e-14,1.2991012308388382e-13,1441,2740,40027136,12734528,265491,311805,0.04162225104927134,0.021884863966058397,0.005911930824427481,0.0018543962412408761,0.036700732,0.020488999,0.0,0.0,0.020867556000000002,0.014723194,0.0,0.0,0.14150327000000001,0.123524035,0.103815217,0.101921356
pdb2m1a,158,6.345533187791874e-15,7.612304921729216e-15,6.580082032729298e-15,100000,100000,362464,155888,1731,1984,0.00032508143626,0.00018054852248,4.466557389e-5,1.5037673440000002e-5,0.000287703,0.00016946700000000002,0.0,0.0,0.00016734100000000002,0.000124852,0.0,0.0,0.09219379300000001,0.07160585500000001,0.09080679900000001,0.069496795
pdb2m1j,182,1.8648544690195817e-14,2.2117554014975966e-14,6.691523132175732e-14,100000,100000,371008,164560,1775,2024,0.00033236323816000004,0.00018851623907000003,4.598512001e-5,1.535525155e-5,0.000292976,0.00017721000000000002,0.0,0.0,0.000171213,0.000130522,0.0,0.0,0.09265788100000001,0.070296789,0.09080805700000001,0.067984722
pdb2m2y,110,2.698702153601441e-13,2.8083087247113355e-13,1.4385821753676147e-13,100000,100000,213568,97504,1033,1165,0.00018999055209000003,0.00010987681084000002,2.662482721e-5,8.83907407e-6,0.00016766100000000002,0.00010300000000000001,0.0,0.0,9.7631e-5,7.6253e-5,0.0,0.0,0.09140967800000001,0.07094898200000001,0.089513488,0.068745756
pdb2m3f,134,3.62878306734107e-14,4.640529614105204e-14,5.810696057007992e-14,100000,100000,254336,117584,1213,1354,0.00022102865711000002,0.00012625764545000001,3.06259663e-5,1.0361317220000001e-5,0.00019548900000000003,0.000118394,0.0,0.0,0.00011411300000000001,8.7589e-5,0.0,0.0,0.08970960800000001,0.069219801,0.08826550500000001,0.066425655
pdb2m4j,2178,1.462689347850755e-11,1.4547351632870256e-11,1.8385059838209042e-13,1699,3364,34926528,11150880,199091,239005,0.03529729861035904,0.017819244215219975,0.0051143884543849326,0.001524265884958383,0.030898996,0.0166834935,0.0,0.0,0.017369031,0.011921853000000001,0.0,0.0,0.137763672,0.119861561,0.106651723,0.102818029
pdb2m8m,170,2.4073353378407852e-14,3.022964324424608e-14,1.1738329751906036e-13,100000,100000,309648,147664,1474,1726,0.00027449107443,0.00016207551854,3.7375978450000005e-5,1.227531335e-5,0.00024355900000000002,0.000152315,0.0,0.0,0.00014392000000000002,0.00011265300000000001,0.0,0.0,0.089431668,0.06848117000000001,0.08788356300000001,0.06622616
pdb2m8o,170,1.672428105126585e-14,2.0394033846102844e-14,2.4755287799615865e-14,100000,100000,303600,146352,1444,1688,0.00026869592103000004,0.00016082187658000003,3.646010062e-5,1.2911881850000001e-5,0.000238523,0.0001512615,0.0,0.0,0.000142619,0.00011295600000000001,0.0,0.0,0.089009325,0.068013366,0.08754508300000001,0.065994676
pdb2m97,416,4.6460717136506594e-14,5.841328192727927e-14,2.063899067045395e-13,82570,100000,793040,369360,3936,4586,0.0007222536754390215,0.00042791979367,9.600052251423036e-5,3.216560876e-5,0.0006414900000000001,0.000405432,0.0,0.0,0.00039306400000000004,0.00030806400000000004,0.0,0.0,0.08986147700000001,0.066416116,0.08809567700000001,0.064042478
